Borough,trip_count,avg_fare,avg_distance,company,month
Bronx,30597,20.104264143543485,5.305176978135111,green,6
Brooklyn,157132,15.65920245398773,3.764959906320801,green,6
Manhattan,161039,11.779429268686467,2.662329187339713,green,6
Queens,150897,13.458533900607698,3.270847664300814,green,6
Staten Island,59,46.97457627118644,15.41677966101695,green,6
Unknown,176,11.676136363636363,2.802443181818182,green,6
Bronx,28808,19.907303873923908,5.396482574284921,green,7
Brooklyn,160138,15.652942587018696,3.839628195681225,green,7
Manhattan,159732,11.42807177021511,2.6306874640022033,green,7
Queens,150952,13.212233557687213,3.258967552599502,green,7
Staten Island,81,46.96913580246913,15.61753086419753,green,7
Unknown,208,11.141826923076923,2.562548076923077,green,7
Bronx,31242,19.998432878816978,5.487624031752128,green,8
Brooklyn,153357,15.869650097484955,3.936098580436498,green,8
Manhattan,159526,11.401109537003371,2.6380265285909505,green,8
Queens,155382,13.498031432212226,3.3731453450206588,green,8
Staten Island,120,49.84041666666667,16.236583333333336,green,8
Unknown,289,11.153979238754324,2.5031487889273354,green,8
Bronx,30778,20.50854928845279,5.559911625186822,green,9
Brooklyn,158777,15.983964994929995,3.8978922010114814,green,9
Manhattan,159435,11.700070310784959,2.6414915169191207,green,9
Queens,150560,14.095715462274176,3.5282818145589796,green,9
Staten Island,138,54.584710144927534,17.871014492753623,green,9
Unknown,203,12.89064039408867,3.0896059113300494,green,9
Bronx,33761,20.81018808684577,5.62414857379817,green,10
Brooklyn,163274,16.5884813258694,4.050107671766479,green,10
Manhattan,157605,11.80267402683925,2.6629240823577933,green,10
Queens,144943,13.570299635028942,3.3154161980916634,green,10
Staten Island,144,46.90298611111111,14.993888888888888,green,10
Unknown,180,12.173333333333332,2.771,green,10
Bronx,34434,21.268450078410876,5.765073183481443,green,11
Brooklyn,157760,16.640728004563893,4.062363717038539,green,11
Manhattan,156940,11.813299923537658,2.6459773161717854,green,11
Queens,150430,13.658506016087218,3.3251469121850694,green,11
Staten Island,175,49.29611428571428,15.911542857142857,green,11
Unknown,166,12.798192771084338,2.990421686746988,green,11
Bronx,34501,21.16471725457233,5.905230573026868,green,12
Brooklyn,158549,16.25242354098733,4.046050747718371,green,12
Manhattan,155719,11.469517014622493,2.6274646639138446,green,12
Queens,150717,13.506569132878177,3.322489964635708,green,12
Staten Island,201,48.75333333333333,15.821691542288557,green,12
Unknown,221,12.357737556561085,2.9243438914027147,green,12
