pickup_hour,trip_count,avg_fare,avg_distance,avg_duration,company,month
0,15696,13.670001274209989,3.6261187563710497,12.855879417261297,yellow,8
1,10754,13.291288822763622,3.576449693137437,11.888918851900069,yellow,8
2,7727,12.754238384884172,3.4096971657823216,11.461735904404469,yellow,8
3,5481,12.887805145046524,3.451424922459405,11.390652557319223,yellow,8
4,4239,14.945227648030196,4.270960132106628,12.111280176142172,yellow,8
5,5076,15.121408589440506,4.410315208825847,11.427626740215393,yellow,8
6,11875,12.768993684210525,3.4744833684210525,10.953484912280702,yellow,8
7,17642,12.195236934587914,3.0268127196462986,12.237319087027169,yellow,8
8,22628,12.504863001590948,2.7518817394378647,14.191209268752578,yellow,8
9,23675,12.797772333685323,2.7082373812038014,14.932508975712778,yellow,8
10,23140,12.922923509075195,2.793909248055315,15.014873235378854,yellow,8
11,24064,12.926813497340426,2.7737042885638297,15.108817458998226,yellow,8
12,25771,13.169528927864654,2.8579523495401804,15.347775277120277,yellow,8
13,26086,13.347417388637583,2.934918347006057,15.45221255334918,yellow,8
14,27074,13.680305459112065,3.0513289502844056,16.379549875649456,yellow,8
15,26755,13.505655391515605,2.97384787890114,16.448760356319692,yellow,8
16,25492,13.846784089125999,3.0891322767927196,16.56405146712694,yellow,8
17,28727,13.401682041285202,2.9557367633237024,16.040946960466925,yellow,8
18,32466,12.426422411137805,2.7604416928479023,14.29896661122405,yellow,8
19,31083,12.09096676639964,2.79103593604221,13.223225450138875,yellow,8
20,28234,12.475516752851172,3.0420808245377913,13.208419517839012,yellow,8
21,28301,12.70049856895516,3.15972933818593,13.116722612864091,yellow,8
22,26033,13.140952252909768,3.304934890331502,13.38826745540916,yellow,8
23,21981,13.608955461534963,3.521572721896183,13.384324340718498,yellow,8
0,16203,13.556051348515707,3.485327408504598,13.211381637145385,yellow,9
1,11638,12.555980409004984,3.2281062038150883,11.911672967863893,yellow,9
2,8635,11.980196873190504,3.0907319050376376,11.298235861802741,yellow,9
3,6067,12.36621559254986,3.2656354046480964,11.337311136750726,yellow,9
4,4646,14.431123547137322,4.014184244511408,12.05962476682451,yellow,9
5,4786,15.630488926034268,4.578932302549101,12.045330129544505,yellow,9
6,11337,12.951819705389433,3.481765899267884,11.840059098526947,yellow,9
7,18609,12.767555483905637,3.0063227470578755,14.003000340337113,yellow,9
8,21606,12.953755438304176,2.7180542441914284,15.538152982196303,yellow,9
9,22465,13.214297351435567,2.687290006677053,16.05441130647674,yellow,9
10,23263,13.185345398271934,2.7519056011692387,15.773930705412027,yellow,9
11,24110,13.31719162173372,2.7723840729987552,15.860284805751418,yellow,9
12,25475,13.44619901864573,2.806406280667321,16.04291265947007,yellow,9
13,25931,13.641336624117852,2.8924380085611814,16.273339503554304,yellow,9
14,27324,14.24264053579271,3.080239350021959,17.474594373688575,yellow,9
15,26929,14.106764826023989,3.011640239147388,17.529351875920632,yellow,9
16,25327,14.421660678327477,3.149039365104434,17.821949566338954,yellow,9
17,28879,13.819981993836352,2.9861335226289,17.041961863868785,yellow,9
18,32132,12.800016183244118,2.7508384165318063,15.42177268766339,yellow,9
19,31359,12.607384164035844,2.8055349341496862,14.612536007738342,yellow,9
20,28732,12.977903731031603,3.075485869413894,14.269009582811268,yellow,9
21,27493,13.209061943040046,3.2440122940384826,14.02435347179282,yellow,9
22,25682,13.39816330503855,3.3337933182773924,13.968309840874284,yellow,9
23,21372,13.84698062886019,3.538656185663485,13.958264707717262,yellow,9
0,14772,13.430138099106417,3.404469943135662,13.28455975268526,yellow,10
1,10250,12.675318048780488,3.251408780487805,12.27800650406504,yellow,10
2,7462,12.169190565532029,3.121190029482712,11.613222549807915,yellow,10
