pickup_dayofweek,trip_count,avg_fare,avg_distance,company,month
5,72319,13.062016344252548,3.160830487147223,green,5
6,58762,13.275564140090534,3.3306533133657807,green,5
0,61456,14.108604692788337,3.391171569903671,green,6
1,63051,14.490238219853769,3.442821525431793,green,6
2,65909,14.501044318681819,3.4562249465171675,green,6
3,67611,14.218802857523183,3.2828351895401635,green,6
4,88008,14.068206526679392,3.2924745477683843,green,6
5,90855,13.428820318089263,3.281828848164658,green,6
6,63110,13.574519885913483,3.415556964031057,green,6
0,75630,13.893438714795716,3.407214200714002,green,7
1,79126,14.096609205570862,3.40234613148649,green,7
2,60309,14.174985988824222,3.447214677742957,green,7
3,66840,14.188921005385996,3.397105026929982,green,7
4,70772,13.920654072231956,3.300570423331261,green,7
5,71623,13.295387096323807,3.2901461820923448,green,7
6,75700,13.231776618229855,3.3539459709379127,green,7
0,57995,14.074889042158805,3.523526855763428,green,8
1,59183,14.294131760809691,3.5253170674011116,green,8
2,79758,14.384141151984755,3.5517318638882625,green,8
3,83138,14.270307320358922,3.4650424595251272,green,8
4,89460,14.04229935166555,3.4001172591102167,green,8
5,69752,13.224966882670032,3.27174719004473,green,8
6,60714,13.377524788351947,3.4068038673123167,green,8
0,57590,14.038451814551136,3.4703908664698733,green,9
1,62146,14.380865059698131,3.478641907765584,green,9
2,66551,14.636267223633002,3.5169158990849123,green,9
3,70346,14.922715008671425,3.515863588548034,green,9
4,75280,14.519628320935176,3.4216470510095642,green,9
5,91648,13.958798882681565,3.4707049799231844,green,9
6,76439,14.033417888774053,3.5782303536153006,green,9
0,72159,14.513472886265053,3.5968505661109496,green,10
1,77483,14.89161377334383,3.577151375140353,green,10
2,81113,14.852242427231147,3.564290927471552,green,10
3,68416,14.790014324134706,3.4922689137043967,green,10
4,72148,14.707026667405888,3.443728308477019,green,10
5,69703,13.632857122362022,3.3454532803466135,green,10
6,58978,13.934361287259657,3.540594798060294,green,10
0,62853,14.816785038104785,3.5941114982578397,green,11
1,65594,14.931987529347197,3.563284446748178,green,11
2,70129,15.017722340258668,3.5862533331432074,green,11
3,81284,15.253193002312878,3.630516214753211,green,11
4,89293,14.346058705609623,3.415400087352872,green,11
5,72223,13.604435429156917,3.35280616977971,green,11
6,58624,13.886025347980349,3.514704557860262,green,11
0,77863,14.223333418953802,3.516223238251801,green,12
1,58877,14.92301526912037,3.67961054401549,green,12
2,64318,14.763868901396188,3.6318229733511616,green,12
3,69088,14.792559778832793,3.577392890226957,green,12
4,71803,14.37053855688481,3.471519156581201,green,12
5,87337,13.60828159886417,3.3606307750437954,green,12
6,70714,13.677350736770654,3.4820387759142464,green,12
